Pe,Soil type,Sub-slab pressure difference,Indoor/outdoor pressure difference,Relative volumetric entry rate
1,1,-0.9384223067259463,-2.864171549872423,1.9008342194643986E-8
1,2,-10.835549462528526,-30.110030569737226,1.8965034662022015E-8
1,3,-73.2368222143138,-194.05679145784643,1.893467926894726E-8
1,4,-441.1031471637818,-1139.4055313407598,1.891662802131882E-8
1,5,-274.01722789467544,-691.5256130383802,1.8907344246470877E-8
1,6,-555.7114857156326,-1250.8156747571788,1.8806447416085007E-8
1,7,-539.5142919802711,-1367.0740993484135,1.8906989502187688E-8
1,8,-639.9425977172843,-1527.4280813224243,1.8862619443663863E-8
1,9,-780.7566517149313,-1975.141107475557,1.8902631363754076E-8
1,10,-141.1348948596216,-325.7207990622549,1.8837045742385345E-8
1,11,-737.4380022706223,-1954.3451669718777,1.8929246232591812E-8
1,12,-649.131381899228,-1616.164102410698,1.889087284037582E-8
