StopTime,Pressure
0,-1.7405882392428047
1,-1.2080504122850446
2,-1.178697504256861
3,-1.1195577893511406
4,-1.151783618816989
5,-1.1194346638663126
6,-1.1091743858272036
7,-1.0457748737688264
8,-0.9437929847313353
9,-0.6280194544640556
10,-0.5013117120589776
11,-0.3452263083976082
12,-0.35230535457534246
13,-0.16666052662289052
14,-0.07036434554699317
15,-0.007975286317358278
16,-0.1974966247572816
17,-0.5999728852772903
18,-0.775654496427613
19,-0.9365623958642743
20,-1.022737367192642
21,-1.0596989891622892
22,-1.0910444605823084
23,-0.7988611604489884
