% Model,pp_closed.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 22 2019, 17:17"
% Table,Table: Probe Table 1 {tbl1} - 
% Time (h),IndoorOutdoorPressure (Pa),AirExchangeRate (1/h),IndoorConcentration (ug/m^3),ExitRate (ug/hour),EntryRate (ug/hour),AttenuationGroundwater (1)
0,-0.299324683,0.5,621.0853939294611,93162.80908941916,93162.80908941926,1.1729620394598567E-5
0.023,-0.29940168709029064,0.5,621.0869137294935,93163.03705942401,93163.03705942405,1.1729649097056602E-5
0.046,-0.29963059669847586,0.5,621.0868081034632,93163.02121551949,93163.0212155196,1.1729647102237128E-5
0.092,-0.30053151649240994,0.5,621.0870741100431,93163.06111650645,93163.06111650681,1.1729652125952442E-5
0.184,-0.30401744655769053,0.5,621.0862506702986,93162.93760054477,93162.93760054397,1.1729636574732408E-5
0.368,-0.3170191739351687,0.5,621.0863043473677,93162.94565210516,93162.94565210548,1.1729637588460392E-5
0.736,-0.3614901403759267,0.5,621.0873325631834,93163.0998844775,93163.09988447772,1.1729657007015907E-5
1.472,-0.6033559760505736,0.5,621.0896825280654,93163.45237920982,93163.45237920957,1.1729701387702165E-5
2.944,-0.3038032495140178,0.5,621.0931056219977,93163.96584329964,93163.9658432995,1.172976603516094E-5
5.244000000000001,-0.4719115710224248,0.5,621.0966831855678,93164.50247783517,93164.50247783556,1.1729833599883966E-5
7.5440000000000005,0.13784394973952704,0.5,621.0992677846181,93164.89016769272,93164.89016769294,1.1729882411796187E-5
9.844000000000001,-0.04776389099564343,0.5,621.101460611299,93165.21909169483,93165.21909169517,1.1729923824820562E-5
12.144,0.31595257622722106,0.5,621.1034903461984,93165.52355192976,93165.52355192971,1.1729962157745642E-5
14.444,-0.030826988514471625,0.5,621.1055673745768,93165.83510618653,93165.8351061865,1.1730001383840258E-5
16.744,0.19298802702948714,0.5,621.1077990330897,93166.16985496346,93166.16985496321,1.1730043530230211E-5
19.043999999999997,-0.030852659136124057,0.5,621.1102834225969,93166.54251338953,93166.54251338978,1.1730090449617007E-5
21.343999999999998,-0.6423693690950572,0.5,621.1131487798134,93166.972316972,93166.97231697205,1.1730144563838293E-5
23.644,-0.2467967775,0.5,621.1164599019106,93167.46898528658,93167.46898528676,1.1730207096632753E-5
