Time,Specie,IndoorConcentration,SubslabConcentration,AttenuationSubslab,logIndoorConcentration,logAttenuationSubslab,IndoorOutdoorPressure,Season
2011-08-11 19:14:44,Trichloroethene,0.31,,,-0.5086383061657274,,0.67,Summer
2011-08-11 19:14:44,Chloroform,0.24,,,-0.619788758288394,,0.67,Summer
2011-08-11 19:14:44,Tetrachloroethene,1.27,,,0.10380372095595687,,0.67,Summer
2011-08-11 21:36:11,Trichloroethene,0.25,109.35,0.002286236854138089,-0.6020599913279624,-2.640878778701618,-0.39,Summer
2011-08-11 21:36:11,Chloroform,0.17,3.92,0.04336734693877552,-0.7695510786217261,-1.3628371456421833,-0.39,Summer
2011-08-11 21:36:11,Tetrachloroethene,0.69,14.39,0.04794996525364836,-0.16115090926274472,-1.31921170319935,-0.39,Summer
2011-08-11 23:57:39,Tetrachloroethene,0.63,10.42,0.060460652591170824,-0.2006594505464183,-1.218527169509924,0.31,Summer
2011-08-11 23:57:39,Trichloroethene,0.61,115.52,0.005280470914127424,-0.21467016498923297,-2.277327345214797,0.31,Summer
2011-08-11 23:57:39,Chloroform,0.21,2.53,0.08300395256916997,-0.6777807052660807,-1.0809012264418987,0.31,Summer
2011-08-12 02:19:06,Chloroform,0.19,2.85,0.06666666666666667,-0.721246399047171,-1.1760912590556813,0.06,Summer
2011-08-12 02:19:06,Trichloroethene,0.79,119.33,0.0066202966563311825,-0.10237290870955855,-2.1791225493335586,0.06,Summer
2011-08-12 02:19:06,Tetrachloroethene,0.67,10.18,0.06581532416502947,-0.17392519729917352,-1.1816729752999136,0.06,Summer
2011-08-12 04:40:34,Chloroform,0.16,2.59,0.06177606177606178,-0.7958800173440752,-1.2091797814253271,-0.09,Summer
2011-08-12 04:40:34,Trichloroethene,0.42,122.64,0.003424657534246575,-0.37675070960209955,-2.4653828514484184,-0.09,Summer
2011-08-12 04:40:34,Tetrachloroethene,0.87,9.65,0.09015544041450776,-0.060480747381381476,-1.0450080607251742,-0.09,Summer
2011-08-12 07:02:01,Chloroform,0.23,3.05,0.07540983606557378,-0.638272163982407,-1.1225720033291928,-0.46,Summer
2011-08-12 07:02:01,Tetrachloroethene,1.05,10.53,0.09971509971509973,0.021189299069938092,-1.0012390721155484,-0.46,Summer
2011-08-12 07:02:01,Trichloroethene,0.55,122.61,0.004485767881901966,-0.2596373105057561,-2.348163202937012,-0.46,Summer
2011-08-12 09:23:29,Trichloroethene,0.63,125.61,0.005015524241700502,-0.2006594505464183,-2.299683666157311,-0.56,Summer
2011-08-12 09:23:29,Chloroform,0.3,2.9,0.10344827586206896,-0.5228787452803376,-0.9852767431792937,-0.56,Summer
2011-08-12 09:23:29,Tetrachloroethene,1.27,10.27,0.12366114897760468,0.10380372095595687,-0.9077667226413213,-0.56,Summer
2011-08-12 11:44:59,Chloroform,0.29,2.3,0.12608695652173912,-0.5376020021010439,-0.8993298381186368,-0.08,Summer
2011-08-12 11:44:59,Trichloroethene,,126.37,,,,-0.08,Summer
2011-08-12 11:44:59,Tetrachloroethene,,8.67,,,,-0.08,Summer
2011-08-12 14:06:27,Trichloroethene,0.43,129.83,0.0033120234152353074,-0.36653154442041347,-2.479906601515316,0.59,Summer
2011-08-12 14:06:27,Tetrachloroethene,0.99,8.13,0.12177121771217711,-0.004364805402450088,-0.9144553509965183,0.59,Summer
2011-08-12 14:06:27,Chloroform,0.21,1.93,0.10880829015544041,-0.6777807052660807,-0.9633380142738545,0.59,Summer
2011-08-12 16:27:54,Chloroform,0.17,2.75,0.06181818181818182,-0.7695510786217261,-1.2088837724519887,1.05,Summer
2011-08-12 16:27:54,Tetrachloroethene,0.88,9.81,0.08970438328236494,-0.05551732784983137,-1.0471863352297799,1.05,Summer
2011-08-12 16:27:54,Trichloroethene,0.87,125.38,0.006938905726591163,-0.060480747381381476,-2.1587090128843216,1.05,Summer
2011-08-12 18:49:22,Chloroform,0.14,1.23,0.11382113821138212,-0.8538719643217619,-0.9437770757611599,1.15,Summer
2011-08-12 18:49:22,Trichloroethene,0.8,129.61,0.0061723632435768845,-0.09691001300805639,-2.209548523626549,1.15,Summer
2011-08-12 18:49:22,Tetrachloroethene,0.83,6.86,0.12099125364431486,-0.0809219076239261,-0.9172460233306778,1.15,Summer
2011-08-12 21:10:49,Trichloroethene,0.78,132.42,0.0058903488898957865,-0.10790539730951959,-2.2298589808548184,1.03,Summer
2011-08-12 21:10:49,Tetrachloroethene,0.75,4.57,0.16411378555798686,-0.12493873660829993,-0.7848549366781502,1.03,Summer
2011-08-12 21:10:49,Chloroform,0.14,0.53,0.2641509433962264,-0.8538719643217619,-0.578147833922551,1.03,Summer
2011-08-12 23:32:16,Trichloroethene,0.67,132.52,0.005055840627829761,-0.17392519729917352,-2.296206624509096,0.95,Summer
2011-08-12 23:32:16,Chloroform,0.13,0.43,0.3023255813953489,-0.8860566476931632,-0.5195251032727497,0.95,Summer
2011-08-12 23:32:16,Tetrachloroethene,0.71,4.3,0.16511627906976745,-0.14874165128092473,-0.7822101068605112,0.95,Summer
2011-08-13 01:53:44,Trichloroethene,0.7,131.68,0.005315917375455649,-0.1549019599857432,-2.274421777853938,0.6,Summer
2011-08-13 01:53:44,Tetrachloroethene,0.66,3.98,0.1658291457286432,-0.1804560644581313,-0.7803391365318192,0.6,Summer
2011-08-13 01:53:44,Chloroform,0.12,,,-0.9208187539523752,,0.6,Summer
2011-08-13 04:15:11,Chloroform,0.11,,,-0.958607314841775,,0.04,Summer
2011-08-13 04:15:11,Tetrachloroethene,0.65,3.23,0.20123839009287928,-0.1870866433571444,-0.6962891656882473,0.04,Summer
