% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 11:08"
% Table,Loam - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,9.24120242953023E-6,9.41330097012865E-5,0.03576438648971218,3.724204579100683E-6,1.5517519079586142E-7
-13,9.146916393536665E-6,8.158194174160491E-5,0.030995801624603414,3.6862073065952765E-6,1.5359197110813624E-7
-11,9.052825000718785E-6,6.903087378115342E-5,0.02622721675920208,3.6482884752896705E-6,1.5201201980373743E-7
-9,8.95892693819485E-6,5.647980582103316E-5,0.021458631893926425,3.610447556092525E-6,1.5043531483718842E-7
-7,8.865214152895445E-6,4.3928737860791886E-5,0.016690047028605184,3.5726813036168646E-6,1.488617209840356E-7
-5,8.771673332045656E-6,3.137766990066808E-5,0.011921462163328329,3.5349843528143993E-6,1.4729101470059995E-7
-3,8.678286985128933E-6,1.8826601940319325E-5,0.007152877297965964,3.4973496550069603E-6,1.457229022919567E-7
-1,8.585048134102898E-6,6.275533980096955E-6,0.00238429243265173,3.459774398043468E-6,1.441572665851448E-7
1,8.492253119378848E-6,-6.275533980088975E-6,-0.002384292432648689,3.422378007109676E-6,1.4259908362956942E-7
3,8.39995734274173E-6,-1.882660194033217E-5,-0.00715287729797085,3.385182809124917E-6,1.4104928371353804E-7
5,8.307946625007432E-6,-3.137766990057854E-5,-0.011921462163294302,3.348102489877995E-6,1.3950427041158324E-7
7,8.21628664282763E-6,-4.392873786078362E-5,-0.016690047028601985,3.3111635170595353E-6,1.3796514654414768E-7
9,8.125043128124772E-6,-5.6479805821035725E-5,-0.021458631893927455,3.2743923806342835E-6,1.3643301585976088E-7
11,8.034270479318584E-6,-6.903087378106261E-5,-0.026227216759167567,3.2378110031653895E-6,1.3490879179855774E-7
13,7.944012446418256E-6,-8.158194174153717E-5,-0.030995801624577574,3.2014370159065574E-6,1.3339320899610635E-7
15,7.85430311181549E-6,-9.413300970129045E-5,-0.03576438648971367,3.1652841540616427E-6,1.318868397525683E-7
