% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 14:01"
% Table,Sandy Clay - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,6.523322925102741E-6,3.412902060904975E-5,0.012966795467931608,2.6288991388164046E-6,1.0953746411734957E-7
-13,6.446864708718256E-6,2.9578484527898113E-5,0.01123788940556162,2.5980864776134574E-6,1.0825360323389371E-7
-11,6.370619148522733E-6,2.5027948446506966E-5,0.009508983343100637,2.5673595168546616E-6,1.0697331320227755E-7
-9,6.294629751623931E-6,2.047741236561001E-5,0.007780077280827404,2.5367357899044443E-6,1.0569732457935191E-7
-7,6.218943693605027E-6,1.5926876283525732E-5,0.006051171218103074,2.506234308522826E-6,1.0442642952178509E-7
-5,6.143613493864E-6,1.1376340202678966E-5,0.004322265155848918,2.475876238027192E-6,1.0316150991779925E-7
-3,6.068698377629227E-6,6.825804121828722E-6,0.002593359093593453,2.4456854461845787E-6,1.0190356025769092E-7
-1,5.994266900392915E-6,2.275268040601235E-6,8.644530311946524E-4,2.415689560858345E-6,1.0065373170243084E-7
1,5.920407955670751E-6,-2.275268040598531E-6,-8.64453031193626E-4,2.3859244061353128E-6,9.941351692230455E-8
3,5.847162929344175E-6,-6.825804121837705E-6,-0.0025933590935968633,2.3564066605257026E-6,9.81836108552374E-8
5,5.774521202276854E-6,-1.1376340203101605E-5,-0.004322265156009496,2.3271320445175726E-6,9.696383518823236E-8
7,5.702486535605935E-6,-1.5926876283560802E-5,-0.0060511712181164,2.298102073849192E-6,9.575425307704989E-8
9,5.631067294445639E-6,-2.0477412364887995E-5,-0.007780077280553125,2.2693201196615927E-6,9.45550049858995E-8
11,5.560274300649349E-6,-2.5027948446788388E-5,-0.00950898334320756,2.240790543161688E-6,9.336627263173665E-8
13,5.490119942576952E-6,-2.9578484527910263E-5,-0.011237889405566219,2.212518336858512E-6,9.218826403577099E-8
15,5.420617505176164E-6,-3.412902060913283E-5,-0.0129667954679632,2.184508854585994E-6,9.102120227441638E-8
