% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 15:48"
% Table,Sandy Loam - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,1.3685341354787509E-5,3.444699414283459E-4,0.1308760461226752,5.515192565979366E-6,2.2979969024914036E-7
-13,1.3287619009719132E-5,2.985406159046698E-4,0.11342590663969229,5.35491046091681E-6,2.2312126920486752E-7
-11,1.2892926388245255E-5,2.5261129037975423E-4,0.09597576715623615,5.195849334462838E-6,2.1649372226928597E-7
-9,1.2501526915905947E-5,2.0668196485631465E-4,0.07852562767334224,5.0381153471100965E-6,2.0992147279625465E-7
-7,1.2113688162334004E-5,1.6075263933253904E-4,0.06107548819032028,4.881816329420604E-6,2.0340901372585786E-7
-5,1.1729619792759286E-5,1.1482331380926638E-4,0.04362534870748924,4.7270367764819925E-6,1.969598656867488E-7
-3,1.134937828795683E-5,6.889398828550604E-5,0.026175209224473188,4.5737994500466025E-6,1.905749770852742E-7
-1,1.0972599658440666E-5,2.2964662761824157E-5,0.00872506974148678,4.421957662351589E-6,1.8424823593131649E-7
1,1.0600013183268957E-5,-2.29646627618501E-5,-0.008725069741496656,4.27180531285739E-6,1.779918880357256E-7
3,1.0233026234516106E-5,-6.889398828574745E-5,-0.02617520922456487,4.123909572509991E-6,1.7182956552124905E-7
5,9.872585215526373E-6,-1.1482331380923475E-4,-0.04362534870747753,3.9786518418571285E-6,1.6577716007738055E-7
7,9.520004446626646E-6,-1.6075263933306474E-4,-0.06107548819052,3.836561791990539E-6,1.598567413329388E-7
9,9.17588705817827E-6,-2.066819648564047E-4,-0.07852562767337656,3.697882484445843E-6,1.5407843685190956E-7
11,8.84055084729255E-6,-2.5261129037984525E-4,-0.09597576715627107,3.562741991458898E-6,1.4844758297745376E-7
13,8.514183005549857E-6,-2.9854061590450445E-4,-0.11342590663962936,3.4312157512365923E-6,1.4296732296819129E-7
15,8.19688836997366E-6,-3.4446994142867853E-4,-0.13087604612280215,3.3033460130993846E-6,1.3763941721247468E-7
