% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 26 2018, 09:23"
% Table,Silt Loam - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,4.996582599618745E-6,4.846669988833509E-5,0.018414175773067004,2.013622787646354E-6,8.390094948526476E-8
-13,4.951110805376767E-6,4.200447323661936E-5,0.01595895233668167,1.9952976545668374E-6,8.31374022736182E-8
-11,4.905649463004112E-6,3.5542246584818055E-5,0.0135037289002639,1.9769767335906573E-6,8.237403056627694E-8
-9,4.860211758146065E-6,2.9080019933064E-5,0.01104850546386411,1.9586653385328644E-6,8.16110557722025E-8
-7,4.814813213729126E-6,2.2617793281443817E-5,0.008593282027515107,1.940369725132838E-6,8.084873854720156E-8
-5,4.769472648818359E-6,1.6155566629442633E-5,0.006138058591021407,1.9220974774737987E-6,8.008739489474154E-8
-3,4.724215181480123E-6,9.693339977713176E-6,0.003682835154630913,1.9038587181364897E-6,7.932744658902079E-8
-1,4.67907859784838E-6,3.2311133258836695E-6,0.0012276117182024335,1.885668674932897E-6,7.856952812220413E-8
1,4.634147389885495E-6,-3.231113325887363E-6,-0.0012276117182038414,1.8675613981238547E-6,7.781505825516072E-8
3,4.589449495950684E-6,-9.69333997767717E-6,-0.0036828351546172554,1.8495481468681255E-6,7.706450611950533E-8
5,4.544948275045972E-6,-1.6155566629768463E-5,-0.006138058591145191,1.831614154843527E-6,7.631725645181366E-8
7,4.5006456381212565E-6,-2.2617793281403955E-5,-0.008593282027499954,1.8137601921628663E-6,7.557334134011953E-8
9,4.45655106622019E-6,-2.908001993276567E-5,-0.01104850546375072,1.7959900796867364E-6,7.483291998694737E-8
11,4.412676557599388E-6,-3.554224658495787E-5,-0.013503728900317038,1.7783086527125536E-6,7.409619386302285E-8
13,4.369034606961522E-6,-4.2004473236798164E-5,-0.015958952336749613,1.7607209466054933E-6,7.336337277522904E-8
15,4.325637622914761E-6,-4.846669988957734E-5,-0.018414175773538984,1.7432319620346487E-6,7.263466508477686E-8
