% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 26 2018, 12:51"
% Table,Silty Clay Loam - 
% p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,6.444144933974817E-6,4.1180551301476417E-5,0.015645915893681382,2.5969904083918516E-6,1.0820793368299432E-7
-13,6.400700239080028E-6,3.568981112785243E-5,0.01355979377448825,2.5794821963492514E-6,1.0747842484788545E-7
-11,6.35729382418683E-6,3.0199070954382106E-5,0.011473671655353434,2.5619894111472927E-6,1.0674955879780401E-7
-9,6.3139306870391506E-6,2.4708330781545348E-5,0.009387549536459358,2.5445140668767777E-6,1.0602141945319884E-7
-7,6.270616949102547E-6,1.9217590607773797E-5,0.007301427417210138,2.5270586304883268E-6,1.0529410960368111E-7
-5,6.227360799951299E-6,1.3726850434235209E-5,0.005215305298049486,2.5096264023803736E-6,1.0456776676584919E-7
-3,6.184173789772296E-6,8.236110260514034E-6,0.003129183178819376,2.4922220372782358E-6,1.0384258488659314E-7
-1,6.141075805914E-6,2.7453700867538785E-6,0.0010430610595744939,2.474853549783342E-6,1.0311889790763935E-7
1,6.098133662032244E-6,-2.745370086811578E-6,-0.001043061059596414,2.4575478657989944E-6,1.0239782774162512E-7
3,6.055359574348111E-6,-8.236110260470076E-6,-0.003129183178802687,2.4403099084622887E-6,1.016795795192621E-7
5,6.012707327521039E-6,-1.3726850434201514E-5,-0.00521530529803668,2.423121052990979E-6,1.0096337720795736E-7
7,5.970174326566344E-6,-1.9217590607748257E-5,-0.007301427417200439,2.405980253606237E-6,1.0024917723359342E-7
9,5.9277642061276955E-6,-2.4708330781460516E-5,-0.00938754953642713,2.3888889750694614E-6,9.953704062789404E-8
11,5.885482593705419E-6,-3.0199070955103094E-5,-0.011473671655627378,2.371849485263284E-6,9.882706188596993E-8
13,5.843336095140395E-6,-3.56898111280881E-5,-0.013559793774577703,2.3548644463415793E-6,9.811935193089905E-8
15,5.801331300552553E-6,-4.118055130260191E-5,-0.015645915894109057,2.337936514122679E-6,9.741402142177855E-8
