% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Jan 31 2019, 19:16"
% Table,Table: no_pp_gravel_sub-base {tbl3} - 
% p_in,"Attenuation factor, Global Evaluation: Attenuation factor {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6}
-5.5,5.865713218288306E-6,1.2630564518987907E-4,0.04798788357811918,2.3638824269701876E-6,1.985661238654956E-7
-4.5,6.392419235466999E-6,1.0334098242826161E-4,0.03926281383671073,2.576144951893201E-6,1.953576588519015E-7
-3.5,7.046851966373348E-6,8.037631966638527E-5,0.030537744095204055,2.8398813424484595E-6,1.9216530417234565E-7
-2.5,7.881575709512023E-6,5.741165690471475E-5,0.021812674353775638,3.1762750109333454E-6,1.8898836315053434E-7
-1.5,8.982565363923298E-6,3.444699414279897E-5,0.013087604612254094,3.6199738416610892E-6,1.8582532387193576E-7
-0.5,1.0500799243823843E-5,1.1482331380918536E-5,0.004362534870745844,4.231822095261009E-6,1.8267365377876677E-7
0.5,1.2729171547236626E-5,-1.148233138091225E-5,-0.004362534870743465,5.1298561335363605E-6,1.7954496467377285E-7
1.5,1.6316416274629036E-5,-3.444699414270425E-5,-0.01308760461221806,6.575515758675503E-6,1.764430061911261E-7
2.5,2.304517026303171E-5,-5.741165690464416E-5,-0.02181267435374885,9.28720361600178E-6,1.7336113416536645E-7
3.5,4.024695487430779E-5,-8.03763196665048E-5,-0.030537744095249522,1.621952281434604E-5,1.703049895506329E-7
4.5,1.778927255132479E-4,-1.0334098242840894E-4,-0.039262813836766663,7.169076838183891E-5,1.6727845955762367E-7
