% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Jan 31 2019, 19:16"
% Table,Table: no_pp_uniform_soil {tbl4} - 
% p_in,"Attenuation factor, Global Evaluation: Attenuation factor {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6}
-5.5,3.5515964190571835E-6,3.817311010034949E-5,0.01450328495259592,1.431293356880045E-6,1.202286419779234E-7
-4.5,3.873679029004038E-6,3.123254462755868E-5,0.01186632405212399,1.5610926486886274E-6,1.1838285919222097E-7
-3.5,4.273890316468327E-6,2.429197915476792E-5,0.009229363151651949,1.7223777975367358E-6,1.1654756429998568E-7
-2.5,4.784400079026827E-6,1.735141368197704E-5,0.006592402251179991,1.9281132318478114E-6,1.1472273729494409E-7
-1.5,5.457873305673385E-6,1.041084820918624E-5,0.003955441350707984,2.1995229421863742E-6,1.129088443655674E-7
-0.5,6.387015700638046E-6,3.470282736395417E-6,0.001318480450235996,2.573967327357133E-6,1.1110958963091633E-7
0.5,7.755751861627236E-6,-3.4702827363954184E-6,-0.001318480450235996,3.125568000235776E-6,1.0939488000825202E-7
1.5,9.965649005996992E-6,-1.0410848209186245E-5,-0.003955441350707983,4.016156549416788E-6,1.0776686740934971E-7
2.5,1.4111667898575197E-5,-1.7351413681977034E-5,-0.006592402251179989,5.687002163125805E-6,1.0615737371168189E-7
3.5,2.4710732133016324E-5,-2.4291979154767925E-5,-0.009229363151651954,9.95842504960558E-6,1.045634630208584E-7
4.5,1.0951990732460478E-4,-3.123254462755867E-5,-0.011866324052123988,4.4136522651815726E-5,1.0298521952090286E-7
