% Model,pref_path.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 5 2018, 15:04"
% Table,"No PP - Global Evaluation 6 (attenuation, beta, Pe, tce_indoor, tce_emission_rate)"
SB,chi,p,alpha,beta,Pe,c,n
1,1,-10.5,3.4022578108049736E-6,3.895760186605107E-10,0.012788358200914266,1.3711098977544045E-6,5.712957907310015E-8
1,1,-9.5,3.3782157379357833E-6,3.524735406922544E-10,0.011570419324617413,1.3614209423881208E-6,5.6725872599505125E-8
1,1,-8.5,3.354225157033163E-6,3.1537106275047623E-10,0.01035248044918973,1.3517527382843648E-6,5.632303076184847E-8
1,1,-7.5,3.3302895187099716E-6,2.78268584776117E-10,0.009134541572692494,1.3421066760401186E-6,5.5921111501671655E-8
1,1,-6.5,3.306412382398887E-6,2.4116610678908865E-10,0.007916602695779418,1.3324841901067515E-6,5.552017458778129E-8
1,1,-5.5,3.2825974323439925E-6,2.0406362884215596E-10,0.006698663820182509,1.322886765234629E-6,5.5120281884776286E-8
1,1,-4.5,3.2588484821521156E-6,1.6696115086142384E-10,0.005480724943476113,1.3133159383073027E-6,5.472149742947087E-8
1,1,-3.5,3.235169507269005E-6,1.2985867289898008E-10,0.0042627860673700516,1.303773311429409E-6,5.432388797622554E-8
1,1,-2.5,3.211564675007621E-6,9.27561949279411E-11,0.003044847190981823,1.2942605640280712E-6,5.392752350116969E-8
1,1,-1.5,3.188038413675153E-6,5.565371695374778E-11,0.0018269083144900678,1.2847794807110868E-6,5.353247836296206E-8
1,1,-0.5,3.1645956178078245E-6,1.855123898613901E-11,6.089694382144464E-4,1.2753320339765533E-6,5.3138834749023E-8
1,1,0.5,3.14124308185873E-6,-1.855123898538961E-11,-6.08969438189847E-4,1.2659209619890682E-6,5.274670674954463E-8
1,1,1.5,3.1179839807057643E-6,-5.565371695499905E-11,-0.0018269083145311374,1.2565475442244231E-6,5.235614767601766E-8
1,1,2.5,3.094817701090536E-6,-9.275619492095815E-11,-0.0030448471907526054,1.2472115335394862E-6,5.196714723081189E-8
1,1,3.5,3.0717453500268037E-6,-1.2985867288079762E-10,-0.004262786066773177,1.237913376060802E-6,5.1579724002533536E-8
1,1,4.5,3.0487683605121775E-6,-1.6696115086080764E-10,-0.005480724943455879,1.2286536492864076E-6,5.119390205360031E-8
1,1,5.5,3.025888302366151E-6,-2.04063628839217E-10,-0.006698663820086041,1.219432985853559E-6,5.080970774389825E-8
1,1,6.5,3.00310681570056E-6,-2.411661067927653E-10,-0.007916602695900119,1.2102520467273258E-6,5.042716861363859E-8
1,1,7.5,2.980425581501633E-6,-2.782685847533889E-10,-0.009134541571946427,1.2011115093451583E-6,5.0046312889381726E-8
1,1,8.5,2.9578463037486706E-6,-3.153710627462664E-10,-0.01035248044905152,1.1920120604107143E-6,4.966716918377974E-8
1,1,9.5,2.935370699423614E-6,-3.524735407136062E-10,-0.011570419325318325,1.1829543918677164E-6,4.928976632782163E-8
1,1,10.5,2.9130004890246934E-6,-3.8957601869690187E-10,-0.012788358202108878,1.1739391970769516E-6,4.8914133211539745E-8
1,0,-10.5,3.4022578108051E-6,3.895760186715432E-10,0.012788358201276443,1.3711098977544553E-6,5.71295790731022E-8
1,0,-9.5,3.378215737936005E-6,3.5247354071656364E-10,0.011570419325415393,1.3614209423882102E-6,5.672587259950872E-8
1,0,-8.5,3.3542251570330174E-6,3.1537106274236335E-10,0.010352480448923403,1.3517527382843062E-6,5.632303076184605E-8
1,0,-7.5,3.3302895187096747E-6,2.782685847431253E-10,0.009134541571609507,1.342106676039999E-6,5.592111150166675E-8
1,0,-6.5,3.3064123823991724E-6,2.4116610682131447E-10,0.00791660269683728,1.3324841901068665E-6,5.552017458778603E-8
1,0,-5.5,3.2825974323438366E-6,2.0406362882695848E-10,0.00669866381968365,1.3228867652345663E-6,5.512028188477375E-8
1,0,-4.5,3.2588484821522283E-6,1.669611508747355E-10,0.005480724943913106,1.313315938307348E-6,5.472149742947277E-8
1,0,-3.5,3.2351695072689728E-6,1.2985867289239224E-10,0.004262786067153805,1.3037733114293961E-6,5.432388797622497E-8
1,0,-2.5,3.2115646750076006E-6,9.275619492666803E-11,0.0030448471909400405,1.2942605640280632E-6,5.392752350116932E-8
1,0,-1.5,3.1880384136751472E-6,5.565371695173139E-11,0.0018269083144238757,1.2847794807110844E-6,5.353247836296191E-8
1,0,-0.5,3.1645956178078283E-6,1.855123898584804E-11,6.089694382048941E-4,1.2753320339765548E-6,5.313883474902311E-8
1,0,0.5,3.1412430818587364E-6,-1.8551238984955324E-11,-6.089694381755914E-4,1.2659209619890708E-6,5.2746706749544744E-8
1,0,1.5,3.1179839807057766E-6,-5.56537169536927E-11,-0.0018269083144882557,1.256547544224428E-6,5.235614767601785E-8
1,0,2.5,3.0948177010904527E-6,-9.275619492994565E-11,-0.0030448471910476333,1.2472115335394525E-6,5.19671472308105E-8
1,0,3.5,3.0717453500268176E-6,-1.2985867287891465E-10,-0.004262786066711362,1.2379133760608075E-6,5.157972400253369E-8
1,0,4.5,3.048768360512188E-6,-1.6696115085920464E-10,-0.005480724943403264,1.2286536492864118E-6,5.1193902053600394E-8
1,0,5.5,3.0258883023663102E-6,-2.04063628825627E-10,-0.00669866381963994,1.2194329858536231E-6,5.080970774390087E-8
1,0,6.5,3.003106815700587E-6,-2.4116610679572564E-10,-0.007916602695997277,1.2102520467273366E-6,5.0427168613639047E-8
1,0,7.5,2.9804255815015378E-6,-2.782685847662756E-10,-0.009134541572369459,1.2011115093451197E-6,5.004631288938002E-8
1,0,8.5,2.957846303748454E-6,-3.1537106276418685E-10,-0.010352480449639758,1.192012060410627E-6,4.9667169183776015E-8
1,0,9.5,2.9353706994239065E-6,-3.5247354068349513E-10,-0.011570419324329876,1.1829543918678344E-6,4.928976632782645E-8
1,0,10.5,2.9130004890249158E-6,-3.8957601867039693E-10,-0.012788358201238805,1.1739391970770411E-6,4.8914133211543325E-8
2,1,-10.5,1.3936534923820641E-6,1.2640749373136608E-10,0.0041494964568782895,5.616423574299719E-7,2.3401764892915495E-8
2,1,-9.5,1.3767410584775497E-6,1.1436868480456943E-10,0.003754306318127981,5.548266465664526E-7,2.311777694026889E-8
2,1,-8.5,1.359910131621023E-6,1.023298758777727E-10,0.0033591161793776617,5.480437830432724E-7,2.2835157626803057E-8
2,1,-7.5,1.343164768873584E-6,9.02910669509756E-11,0.0029639260406273383,5.412954018560544E-7,2.2553975077335587E-8
2,1,-6.5,1.3265098161585406E-6,7.8252258024179E-11,0.0025687359018770287,5.345834559118919E-7,2.2274310662995522E-8
2,1,-5.5,1.3099513415470037E-6,6.621344909738232E-11,0.0021735457631267183,5.279103906434425E-7,2.1996266276810145E-8
2,1,-4.5,1.293497418546268E-6,5.417464017058543E-11,0.0017783556243764114,5.21279459674146E-7,2.1719977486422753E-8
2,1,-3.5,1.2771596865946888E-6,4.2135831243788576E-11,0.001383165485626095,5.146953536976596E-7,2.144563973740244E-8
2,1,-2.5,1.2609568690693784E-6,3.009702231699189E-11,9.879753468757838E-4,5.081656182349595E-7,2.1173567426456594E-8
2,1,-1.5,1.2449242068965883E-6,1.8058213390195143E-11,5.927852081254695E-4,5.017044553793251E-7,2.0904352307471848E-8
2,1,-0.5,1.2291477488493242E-6,6.019404463398369E-12,1.9759506937515624E-4,4.953465427862777E-7,2.0639439282761536E-8
2,1,0.5,1.213888023308681E-6,-6.019404463398375E-12,-1.9759506937515653E-4,4.891968733933985E-7,2.0383203058058305E-8
2,1,1.5,1.199150858008753E-6,-1.8058213390195124E-11,-5.92785208125469E-4,4.832577957775274E-7,2.0135741490730347E-8
2,1,2.5,1.1846829217616985E-6,-3.009702231699189E-11,-9.87975346875784E-4,4.774272174699645E-7,1.989280072791518E-8
2,1,3.5,1.1704024055155618E-6,-4.213583124378857E-11,-0.0013831654856260938,4.716721694227715E-7,1.9653007059282112E-8
2,1,4.5,1.156277521892747E-6,-5.41746401705854E-11,-0.0017783556243764105,4.659798413227771E-7,1.9415826721782388E-8
2,1,5.5,1.1422926408611943E-6,-6.621344909738231E-11,-0.0021735457631267188,4.6034393426706137E-7,1.918099726112756E-8
2,1,6.5,1.1284390292766218E-6,-7.825225802417895E-11,-0.0025687359018770287,4.5476092879847864E-7,1.8948372033269924E-8
2,1,7.5,1.1147113917308349E-6,-9.029106695097566E-11,-0.0029639260406273404,4.492286908675265E-7,1.8717862119480292E-8
2,1,8.5,1.1011063390773652E-6,-1.023298758777727E-10,-0.0033591161793776617,4.4374585464817823E-7,1.848941061034075E-8
2,1,9.5,1.0876216238147637E-6,-1.1436868480456939E-10,-0.0037543063181279803,4.383115143973498E-7,1.826297976655621E-8
2,1,10.5,1.0742557208000537E-6,-1.2640749373136614E-10,-0.004149496456878288,4.3292505548242164E-7,1.8038543978434237E-8
2,0,-10.5,1.3936534923820637E-6,1.2640749373136606E-10,0.004149496456878286,5.616423574299717E-7,2.3401764892915485E-8
2,0,-9.5,1.376741058477549E-6,1.143686848045693E-10,0.003754306318127982,5.548266465664523E-7,2.3117776940268898E-8
2,0,-8.5,1.3599101316210229E-6,1.0232987587777275E-10,0.0033591161793776634,5.480437830432723E-7,2.283515762680304E-8
2,0,-7.5,1.3431647688735845E-6,9.029106695097573E-11,0.0029639260406273396,5.412954018560545E-7,2.25539750773356E-8
2,0,-6.5,1.3265098161585408E-6,7.825225802417903E-11,0.0025687359018770287,5.34583455911892E-7,2.2274310662995512E-8
