% Model,pref_path.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 5 2018, 15:05"
% Table,North Island - 
% p,alpha,beta,Pe,c,n
-10.5,3.367063862311235E-5,0.00750518870501357,2.851480796971213,1.3569267365114276E-5,5.65386140213095E-7
-9.5,3.1055979207686005E-5,0.006790408828345614,2.579911197259669,1.2515559620697462E-5,5.214816508623947E-7
-8.5,2.8278346722081973E-5,0.006075628951677666,2.3083415975481247,1.1396173728999035E-5,4.748405720416258E-7
-7.5,2.5345590897334235E-5,0.0053608490750097,2.036771997836581,1.0214273131625697E-5,4.255947138177378E-7
-6.5,2.2282832273433176E-5,0.004646069198341731,1.7652023981250324,8.97998140619357E-6,3.741658919247325E-7
-5.5,1.9138822223768487E-5,0.003931289321673763,1.493632798413489,7.712945356178701E-6,3.2137272317411244E-7
-4.5,1.5990224417897847E-5,0.0032165094450058184,1.2220631987019477,6.444060440412833E-6,2.685025183505347E-7
-3.5,1.2931164407486972E-5,0.0025017295683378554,0.9504935989904026,5.21125925621725E-6,2.1713580234238556E-7
-2.5,1.0098585610887845E-5,0.0017869496916698955,0.678923999278859,4.069730001187802E-6,1.6957208338282513E-7
-1.5,7.572439694532648E-6,0.0010721698150019375,0.4073543995673155,3.0516931968966575E-6,1.271538832040277E-7
-0.5,5.40064659512201E-6,3.573899383339794E-4,0.13578479985577196,2.17646057783417E-6,9.068585740975726E-8
0.5,3.6902586282313415E-6,-3.5738993833397953E-4,-0.1357847998557719,1.4871742271772308E-6,6.196559279905122E-8
1.5,2.4636229375641126E-6,-0.0010721698150019377,-0.4073543995673158,9.928400438383375E-7,4.136833515993073E-8
2.5,1.6161495339181167E-6,-0.0017869496916698945,-0.6789239992788599,6.513082621690011E-7,2.7137844257041695E-8
3.5,1.0469133222676575E-6,-0.002501729568337856,-0.9504935989904033,4.21906068873866E-7,1.7579419536411132E-8
4.5,6.731247924861383E-7,-0.0032165094450058184,-1.2220631987019483,2.7126929137191373E-7,1.1302887140496413E-8
5.5,4.3177859030760466E-7,-0.003931289321673763,-1.4936327984134907,1.7400677189396468E-7,7.250282162248536E-9
6.5,2.771869890611039E-7,-0.0046460691983417285,-1.7652023981250338,1.1170635659162488E-7,4.654431524651028E-9
7.5,1.7873584622217943E-7,-0.005360849075009694,-2.0367719978365786,7.203054602753831E-8,3.0012727511474347E-9
8.5,1.1608304143855267E-7,-0.006075628951677665,-2.308341597548123,4.678146569973673E-8,1.949227737489033E-9
9.5,7.611337109178627E-8,-0.006790408828345612,-2.5799111972596687,3.067368854998987E-8,1.2780703562495756E-9
10.5,5.04752652092614E-8,-0.007505188705013575,-2.851480796971214,2.0341531879332346E-8,8.475638283055143E-10
