% Model,pref_path.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 5 2018, 15:04"
% Table,"PP - Global Evaluation 6 (attenuation, beta, Pe, tce_indoor, tce_emission_rate)"
chi,p,SB,alpha,beta,Pe,c,n
1,-10.5,1,0.0037803833866363787,1.478734714599444E-7,4.854146125176105,0.0015234945048144607,6.347893770060228E-5
1,-10.5,2,1.4539896252259513E-6,1.2676578342513642E-10,0.004161257799271453,5.859578189660584E-7,2.4414909123585874E-8
1,-9.5,1,0.003414733062293418,1.337902837018454E-7,4.3918464942066375,0.0013761374241042475,5.7339059337676795E-5
1,-9.5,2,1.4360412489544317E-6,1.1469285167036147E-10,0.0037649475326741676,5.78724623328636E-7,2.411352597202649E-8
1,-8.5,1,0.0030490112876638865,1.1970709594379595E-7,3.92954686323882,0.0012287515489285464,5.119798120535591E-5
1,-8.5,2,1.4181879468633685E-6,1.026199199155868E-10,0.003368637266076883,5.715297425859375E-7,2.3813739274414098E-8
1,-7.5,1,0.0026832024776868523,1.0562390818567827E-7,3.4672472322687433,0.0010813305985078016,4.505544160449165E-5
1,-7.5,2,1.4004342050333664E-6,9.054698816081174E-11,0.0029723269994796,5.643749846284467E-7,2.3515624359518535E-8
1,-6.5,1,0.0023172763499519785,9.154072042759927E-8,3.0049476012999534,9.338623690306473E-4,3.891093204294371E-5
1,-6.5,2,1.3827854914288565E-6,7.847405640603703E-11,0.002576016732882324,5.572625530458292E-7,2.32192730435762E-8
1,-5.5,1,0.0019512310258723354,7.745753266951188E-8,2.5426479703308944,7.863461034265512E-4,3.276442097610634E-5
1,-5.5,2,1.3652487942764157E-6,6.640112465126186E-11,0.002179706466285046,5.501952640933956E-7,2.2924802670558098E-8
1,-4.5,1,0.0015851380905527205,6.337434491141392E-8,2.0803483393614823,6.388106504927464E-4,2.6617110437197754E-5
1,-4.5,2,1.34783359661433E-6,5.432819289648697E-11,0.0017833961996877598,5.431769394355751E-7,2.263237247648231E-8
1,-3.5,1,0.0012193081291828607,4.929115715332007E-8,1.618048708392196,4.913811760606929E-4,2.0474215669195492E-5
1,-3.5,2,1.3305538099167582E-6,4.2255261141712184E-11,0.001387085933090483,5.362131853964536E-7,2.2342216058185597E-8
1,-2.5,1,8.535388485975201E-4,3.5207969395221874E-8,1.1557490774227759,3.439761559848006E-4,1.4332339832699969E-5
1,-2.5,2,1.3134320826006233E-6,3.018232938693723E-11,9.907756664931998E-4,5.293131292880513E-7,2.2054713720335485E-8
1,-1.5,1,4.898670863787802E-4,2.112478163713346E-8,0.69344944645368,1.9741643581064843E-4,8.225684825443673E-6
1,-1.5,2,1.2965111936197476E-6,1.8109397632162347E-11,5.944653998959203E-4,5.224940110287583E-7,2.1770583792864905E-8
1,-0.5,1,1.400857390759402E-4,7.041593879044779E-9,0.23114981548456942,5.6454552847603904E-5,2.352273035316838E-6
1,-0.5,2,1.2798942402696365E-6,6.036465877387453E-12,1.9815513329864007E-4,5.157973788286636E-7,2.1491557451194327E-8
1,0.5,1,2.308615738112861E-6,-7.041593879043834E-9,-0.23114981548453856,9.303721424594831E-7,3.876550593581183E-8
1,0.5,2,1.2638777634175673E-6,-6.036465877387451E-12,-1.9815513329864026E-4,5.093427386572796E-7,2.1222614110720038E-8
1,1.5,1,1.58158343484493E-6,-2.1124781637132428E-8,-0.693449446453645,6.373781242425069E-7,2.6557421843437828E-8
1,1.5,2,1.2484668322504816E-6,-1.810939763216233E-11,-5.944653998959201E-4,5.031321333969441E-7,2.0963838891539353E-8
1,2.5,1,1.1919961346034465E-6,-3.520796939523275E-8,-1.1557490774231334,4.80374442245189E-7,2.0015601760216203E-8
1,2.5,2,1.2333711700596173E-6,-3.018232938693723E-11,-9.907756664932013E-4,4.970485815340258E-7,2.071035756391771E-8
1,3.5,1,9.377955147575528E-7,-4.929115715332037E-8,-1.6180487083922084,3.779315924472938E-7,1.5747149685303914E-8
1,3.5,2,1.218491464911801E-6,-4.225526114171216E-11,-0.001387085933090483,4.910520603594558E-7,2.0460502514977345E-8
1,4.5,1,7.593286868966907E-7,-6.337434491142087E-8,-2.0803483393617106,3.060094608193664E-7,1.2750394200806928E-8
1,4.5,2,1.203788073287821E-6,-5.432819289648702E-11,-0.0017833961996877611,4.851265935349919E-7,2.0213608063957984E-8
1,5.5,1,6.280086477457792E-7,-7.745753266951784E-8,-2.542647970331096,2.5308748504154906E-7,1.0545311876731217E-8
1,5.5,2,1.1892411999641167E-6,-6.640112465126186E-11,-0.002179706466285045,4.79264203585539E-7,1.9969341816064104E-8
1,6.5,1,5.280242368858579E-7,-9.154072042760166E-8,-3.0049476013000462,2.1279376746500075E-7,8.866406977708373E-9
1,6.5,2,1.1748396194795663E-6,-7.847405640603703E-11,-0.0025760167328823243,4.7346036665026524E-7,1.9727515277094375E-8
1,7.5,1,4.498650730269098E-7,-1.0562390818568203E-7,-3.4672472322688788,1.8129562442984468E-7,7.553984351243536E-9
1,7.5,2,1.1605764196811115E-6,-9.054698816081174E-11,-0.0029723269994796006,4.6771229713148796E-7,1.9488012380478666E-8
1,8.5,1,3.8746508661220257E-7,-1.1970709594376086E-7,-3.9295468632376656,1.5614842990471764E-7,6.506184579363242E-9
1,8.5,2,1.1464470950579241E-6,-1.0261991991558689E-10,-0.0033686372660768826,4.6201817930834346E-7,1.9250757471180957E-8
1,9.5,1,3.367777731455033E-7,-1.3379028370187572E-7,-4.391846494207635,1.3572144257763784E-7,5.6550601074015775E-9
1,9.5,2,1.1324485853100337E-6,-1.146928516703615E-10,-0.0037649475326741655,4.563767798799436E-7,1.9015699161664304E-8
1,10.5,1,2.950050744983369E-7,-1.4787347145992648E-7,-4.854146125175489,1.1888704502282979E-7,4.953626875951252E-9
1,10.5,2,1.118578747891111E-6,-1.2676578342513637E-10,-0.004161257799271455,4.507872354001177E-7,1.878280147500491E-8
0,-10.5,1,3.5779266274266007E-6,1.4787347145993424E-7,4.854146125175751,1.4419044308529201E-6,6.007935128553826E-8
0,-10.5,2,1.3847463267789692E-6,1.2676578342513622E-10,0.004161257799271447,5.580527696919246E-7,2.3252198737163466E-8
0,-9.5,1,3.548780162151706E-6,1.3379028370185404E-7,4.391846494206918,1.4301584053471377E-6,5.9589933556130746E-8
0,-9.5,2,1.3679026972200505E-6,1.1469285167036142E-10,0.003764947532674163,5.512647869796804E-7,2.296936612415327E-8
0,-8.5,1,3.5187817337339526E-6,1.1970709594376536E-7,3.929546863237811,1.418069038694783E-6,5.9086209945615864E-8
0,-8.5,2,1.35114047910901E-6,1.0261991991558689E-10,0.003368637266076884,5.445096130809311E-7,2.2687900545038817E-8
0,-7.5,1,3.487743680711775E-6,1.0562390818568731E-7,3.4672472322690444,1.4055607033268455E-6,5.856502930528502E-8
0,-7.5,2,1.3344636928151228E-6,9.054698816081178E-11,0.0029723269994795993,5.377888682044945E-7,2.2407869508520593E-8
0,-6.5,1,3.4554245051944528E-6,9.154072042760665E-8,3.0049476013002057,1.3925360755933645E-6,5.80223364830569E-8
0,-6.5,2,1.3178771343288614E-6,7.847405640603694E-11,0.0025760167328823234,5.311044851345311E-7,2.2129353547272136E-8
0,-5.5,1,3.421504083772893E-6,7.745753266951141E-8,2.542647970330883,1.3788661457604759E-6,5.745275607335321E-8
0,-5.5,2,1.301386806582345E-6,6.640112465126185E-11,0.002179706466285045,5.244588830526851E-7,2.18524534605285E-8
0,-4.5,1,3.385527148768222E-6,6.337434491141048E-8,2.080348339361377,1.3643674409535936E-6,5.6848643373066414E-8
0,-4.5,2,1.2850006888620802E-6,5.4328192896486946E-11,0.0017833961996877588,5.178552776114184E-7,2.1577303233809088E-8
0,-3.5,1,3.346839965761879E-6,4.929115715330783E-8,1.618048708391794,1.3487765062020373E-6,5.619902109175158E-8
0,-3.5,2,1.2687302795198435E-6,4.225526114171214E-11,0.0013870859330904828,5.112983026464969E-7,2.130409594360402E-8
0,-2.5,1,3.304230165023883E-6,3.520796939521873E-8,1.1557490774226749,1.331604756504625E-6,5.5483531521026227E-8
0,-2.5,2,1.2525940768143343E-6,3.018232938693725E-11,9.907756664932004E-4,5.047954129561767E-7,2.103314220650736E-8
0,-1.5,1,3.2558627074646657E-6,2.1124781637137344E-8,0.6934494464538086,1.3121126711082604E-6,5.4671361296177504E-8
0,-1.5,2,1.2366269347599328E-6,1.8109397632162347E-11,5.944653998959202E-4,4.983606547082529E-7,2.0765027279510503E-8
0,-0.5,1,3.1953204874061676E-6,7.041593879045966E-9,0.2311498154846074,1.2877141564246857E-6,5.365475651769506E-8
0,-0.5,2,1.2209141476808834E-6,6.0364658773874546E-12,1.9815513329864005E-4,4.920284015153961E-7,2.050118339647484E-8
0,0.5,1,2.27611990162676E-6,-7.041593879046009E-9,-0.23114981548460975,9.172763203555844E-7,3.8219846681482645E-8
0,0.5,2,1.2057147991516756E-6,-6.036465877387452E-12,-1.9815513329864002E-4,4.859030640581253E-7,2.024596100242189E-8
0,1.5,1,1.5806579641421943E-6,-2.1124781637136464E-8,-0.6934494464537795,6.370051595493043E-7,2.654188164788765E-8
0,1.5,2,1.1910349194522525E-6,-1.8109397632162337E-11,-5.944653998959202E-4,4.799870725392578E-7,1.99994613558024E-8
0,2.5,1,1.1917510405630294E-6,-3.5207969395224104E-8,-1.15574907742285,4.802756693469009E-7,2.0011486222787515E-8
0,2.5,2,1.1766228321535202E-6,-3.018232938693723E-11,-9.907756664932004E-4,4.7417900135786867E-7,1.9757458389911202E-8
0,3.5,1,9.376870690024021E-7,-4.929115715332378E-8,-1.6180487083923185,3.7788788880796807E-7,1.574532870033201E-8
0,3.5,2,1.1623975281590844E-6,-4.225526114171212E-11,-0.0013870859330904818,4.684462038481111E-7,1.951859182700462E-8
0,4.5,1,7.592697985060684E-7,-6.337434491141476E-8,-2.0803483393615068,3.059857287979456E-7,1.2749405366581057E-8
0,4.5,2,1.148327601030024E-6,-5.432819289648705E-11,-0.001783396199687761,4.627760232150997E-7,1.9282334300629196E-8
0,5.5,1,6.279726388877978E-7,-7.74575326694945E-8,-2.542647970330321,2.5307297347178254E-7,1.054470722799095E-8
