% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Jan 31 2019, 19:16"
% Table,Table: pp_gravel_sub-base {tbl6} - 
% p_in,"Attenuation factor, Global Evaluation: Attenuation factor {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6}
-5.5,4.157097986145497E-4,0.0061170094478209865,2.3240634794034496,1.6753104884166355E-4,1.4072608102699716E-5
-4.5,3.736673850369775E-4,0.0050048259118536656,1.9015064831483237,1.5058795616990195E-4,1.1419586676217562E-5
-3.5,3.221401926064517E-4,0.0038926423758860315,1.4789494868930875,1.2982249762040002E-4,8.784655672313719E-6
-2.5,2.5762208015156485E-4,0.0027804588399186836,1.056392490637961,1.0382169830108064E-4,6.177391048914315E-6
-1.5,1.7516476313441285E-4,0.0016682753039512297,0.6338354943827764,7.059139954316838E-5,3.623691843215969E-6
-0.5,6.910284994716146E-5,5.560917679837363E-4,0.2112784981275905,2.7848448528706067E-5,1.2021246948224818E-6
0.5,1.0530906198120426E-5,-5.560917679837335E-4,-0.21127849812758875,4.243955197842532E-6,1.485384319244887E-7
1.5,1.0928415481388995E-5,-0.0016682753039511653,-0.633835494382751,4.404151438999765E-6,1.181780636131604E-7
2.5,1.3080737260639739E-5,-0.0027804588399186884,-1.0563924906379618,5.271537116037815E-6,9.840202616603894E-8
3.5,1.9790263813543194E-5,-0.0038926423758860944,-1.4789494868931132,7.975476316857908E-6,8.3742501327008E-8
4.5,7.690366308152393E-5,-0.005004825911853575,-1.9015064831482968,3.099217622185414E-5,7.231507785099292E-8
