% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Jan 31 2019, 19:16"
% Table,Table: pp_uniform_soil {tbl5} - 
% p_in,"Attenuation factor, Global Evaluation: Attenuation factor {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6}
-5.5,3.759013728419387E-6,3.844332206754923E-5,0.014605947825691601,1.514882532553013E-6,1.2725013273445338E-7
-4.5,4.09828018397651E-6,3.14536271461766E-5,0.01195032094829309,1.651606914142534E-6,1.2524685765580853E-7
-3.5,4.519903308438438E-6,2.4463932224804037E-5,0.009294694070894624,1.8215210333006906E-6,1.2325625658668006E-7
-2.5,5.057793957000843E-6,1.7474237303431424E-5,0.006639067193496206,2.03829096467134E-6,1.212783123979448E-7
-1.5,5.767467603599891E-6,1.0484542382058864E-5,0.003983440316097694,2.3242894442507562E-6,1.193135248048719E-7
-0.5,6.7466502479254815E-6,3.4948474606862968E-6,0.0013278134386992286,2.7189000499139693E-6,1.1736585215462005E-7
0.5,8.18938082252712E-6,-3.4948474606862985E-6,-0.0013278134386992286,3.3003204714784294E-6,1.1551121650174523E-7
1.5,1.0519093751605632E-5,-1.0484542382058865E-5,-0.003983440316097696,4.23919478189707E-6,1.1375172664757139E-7
2.5,1.4890088414946762E-5,-1.747423730343143E-5,-0.006639067193496204,6.000705631223545E-6,1.1201317178283922E-7
3.5,2.6064601573319353E-5,-2.446393222480404E-5,-0.009294694070894624,1.05040344340477E-5,1.1029236155750105E-7
4.5,1.154796225372384E-4,-3.14536271461766E-5,-0.011950320948293097,4.653828788250708E-5,1.0858933839251688E-7
