% Model,main_refined_constant_ae.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 12 2019, 19:42"
% Table,Table: Accumulated Probe Table 17 {tbl17} - 
% p_in,"Attenuation to groundwater, Global Evaluation: Attenuation to groundwater {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6},"Attenuation to subbase, Global Evaluation: Attenuation to subslab {gev9}","Average subslab concentration, Global Evaluation: Average TCE in subslab {gev10}"
-5,1.8042914320894764E-6,0.005560917679837096,2.1127849812758135,95.5375380586812,2.617666009675408,2.6544178389709453E-5,3599189.8734269673
-4,1.7457596708626318E-6,0.004448734143869668,1.690227985020638,92.4382713513204,2.5327481304875064,2.3697364212182596E-5,3900782.826462984
-3,1.6829763439261116E-6,0.0033365506079022136,1.2676709887654563,89.11388351686605,2.4416620797679953,2.0917156273385887E-5,4260324.986444301
-2,1.614418389105188E-6,0.0022243670719349195,0.8451139925103486,85.48372815424584,2.3421981989138008,1.819919190672637E-5,4697116.695750171
-1,1.5369311876024952E-6,0.0011121835359673444,0.4225569962551328,81.380767661854,2.2297797669736945,1.5535033129011696E-5,5238531.96745846
1,1.0268841583511659E-6,-0.0011121835359674246,-0.4225569962551626,54.37369075500114,1.4898035369358762,1.0477959779375037E-5,5189339.518369891
2,8.407259314593544E-7,-0.002224367071934883,-0.8451139925103365,44.51658099418116,1.2197251813612306,9.566160838264124E-6,4653547.201100493
3,7.086904564902206E-7,-0.0033365506079020653,-1.267670988765399,37.525280148534776,1.0281681142760097,8.898489954189321E-6,4217039.109075832
4,6.079259239052702E-7,-0.0044487341438696724,-1.690227985020641,32.18978101819112,0.8819789304017664,8.355879288990254E-6,3852351.129653647
5,5.280541547989665E-7,-0.005560917679837174,-2.1127849812758326,27.960557265811588,0.7661009677823415,7.89283090078221E-6,3542525.8208737997
