% Model,main_refined_constant_ae.mph
% Version,COMSOL 5.3.1.275
% Date,"Feb 20 2019, 02:32"
% Table,Table: Accumulated Probe Table 13 {tbl13} - 
% Ae,p_in,"Attenuation to groundwater, Global Evaluation: Attenuation to groundwater {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6},"Attenuation to subbase, Global Evaluation: Attenuation to subslab {gev9}",Global Evaluation: Average TCE in subslab {gev10}
2.777777777777778E-5,-5,4.939230042741583E-6,3.4948474606862855E-5,0.01327813438699241,261.53307043227403,1.4331669892018986,2.1384188810697837E-5,0.0016069269883600091
2.777777777777778E-5,-4,4.861103081179439E-6,2.795877968549037E-5,0.010622507509593822,257.39623453597505,1.4104976700350242,2.1078829148756453E-5,0.0016044198193843672
2.777777777777778E-5,-3,4.783470824970323E-6,2.0969084764117727E-5,0.007966880632195392,253.2855933722188,1.3879718945733863,2.0775544412138675E-5,0.001601844623322196
2.777777777777778E-5,-2,4.706338492693051E-6,1.3979389842745187E-5,0.0053112537547969135,249.20142326564078,1.365591177039823,2.04744382819802E-5,0.0015991928350820581
2.777777777777778E-5,-1,4.629760558714821E-6,6.989694921372592E-6,0.0026556268773984567,245.14660864324472,1.3433713237166898,2.0175908911030914E-5,0.0015964491637859065
2.777777777777778E-5,1,4.484665569967056E-6,-6.9896949213725936E-6,-0.0026556268773984567,237.46380432290246,1.3012705617816396,1.961989265472487E-5,0.0015902415879157459
2.777777777777778E-5,2,4.416276258309664E-6,-1.3979389842745185E-5,-0.0053112537547969135,233.8425786444606,1.281426719111133,1.9362816680067253E-5,0.0015867823837698472
2.777777777777778E-5,3,4.3486072550299756E-6,-2.096908476411772E-5,-0.007966880632195392,230.2594934170705,1.2617918811194926,1.9108800717409594E-5,0.0015832388064262635
2.777777777777778E-5,4,4.281629129313161E-6,-2.7958779685490374E-5,-0.010622507509593822,226.71299027408378,1.2423575081615092,1.8857485183552364E-5,0.0015796284341293304
2.777777777777778E-5,5,4.2153549741081134E-6,-3.494847460686286E-5,-0.013278134386992409,223.20376248937018,1.2231273992872076,1.860878884093246E-5,0.001575961907255906
8.333333333333334E-5,-5,1.6464100142471942E-6,3.4948474606862855E-5,0.013278134386992413,87.17769014409134,1.4331669892018983,7.1280629368992794E-6,0.0016069269883600091
8.333333333333334E-5,-4,1.6203676937264794E-6,2.7958779685490374E-5,0.010622507509593824,85.798744845325,1.4104976700350238,7.026276382918816E-6,0.0016044198193843672
8.333333333333334E-5,-3,1.5944902749901068E-6,2.0969084764117734E-5,0.007966880632195389,84.42853112407289,1.387971894573386,6.925181470712888E-6,0.001601844623322196
8.333333333333334E-5,-2,1.5687794975643505E-6,1.3979389842745189E-5,0.005311253754796912,83.06714108854693,1.365591177039823,6.8248127606600665E-6,0.0015991928350820583
8.333333333333334E-5,-1,1.543253519571606E-6,6.989694921372594E-6,0.0026556268773984567,81.71553621441485,1.3433713237166889,6.725302970343634E-6,0.0015964491637859065
8.333333333333334E-5,1,1.4948885233223516E-6,-6.9896949213725936E-6,-0.0026556268773984567,79.15460144096747,1.3012705617816391,6.539964218241621E-6,0.0015902415879157459
8.333333333333334E-5,2,1.4720920861032209E-6,-1.3979389842745187E-5,-0.005311253754796912,77.94752621482016,1.281426719111133,6.454272226689082E-6,0.0015867823837698472
8.333333333333334E-5,3,1.4495357516766593E-6,-2.096908476411773E-5,-0.007966880632195392,76.75316447235689,1.2617918811194928,6.369600239136537E-6,0.001583238806426263
8.333333333333334E-5,4,1.4272097097710529E-6,-2.7958779685490378E-5,-0.010622507509593827,75.5709967580279,1.2423575081615088,6.285828394517452E-6,0.0015796284341293304
8.333333333333334E-5,5,1.4051183247027048E-6,-3.494847460686286E-5,-0.013278134386992416,74.40125416312341,1.223127399287208,6.202929613644156E-6,0.001575961907255906
