,p,alpha,beta,Pe,c,n,soil_type
0,-15,6.436212157742072e-06,3.984852836460525e-05,0.015139834304676662,2.593793499570055e-06,1.08074729148752e-07,clay
1,-13,6.373912155193546e-06,3.4535391249178835e-05,0.01312118973066438,2.5686865985429997e-06,1.0702860827262463e-07,clay
2,-11,6.31171932511882e-06,2.9222254133875377e-05,0.011102545156698888,2.5436228880228844e-06,1.0598428700095352e-07,clay
3,-9,6.249657396154729e-06,2.3909117018608244e-05,0.009083900582747186,2.518611930650356e-06,1.0494216377709824e-07,clay
4,-7,6.187753945085307e-06,1.859597990357727e-05,0.0070652560088851546,2.493664839869378e-06,1.039027016612238e-07,clay
5,-5,6.126040945224037e-06,1.3282842788284015e-05,0.00504661143492345,2.468794500925287e-06,1.0286643753855329e-07,clay
6,-3,6.064557193793883e-06,7.969705672845524e-06,0.003027966860906634,2.4440165490989347e-06,1.0183402287912213e-07,clay
7,-1,6.003353195301365e-06,2.6565685576235e-06,0.0010093222869720425,2.41935133770645e-06,1.0080630573776929e-07,clay
8,1,5.942515083740253e-06,-2.6565685576346427e-06,-0.0010093222869762722,2.3948335787473215e-06,9.978473244780482e-08,clay
9,3,5.882071087691086e-06,-7.969705672884182e-06,-0.0030279668609213177,2.370474648339508e-06,9.876977701414588e-08,clay
10,5,5.821987480824592e-06,-1.3282842788266812e-05,-0.005046611434916929,2.346260954772311e-06,9.776087311551317e-08,clay
11,7,5.7622600755142735e-06,-1.8595979903296178e-05,-0.007065256008778323,2.322190810432253e-06,9.6757950434677e-08,clay
12,9,5.702892044526073e-06,-2.3909117018378048e-05,-0.009083900582659642,2.2982654939440082e-06,9.57610622476672e-08,clay
13,11,5.643890268064639e-06,-2.922225413376913e-05,-0.011102545156658485,2.2744877780300497e-06,9.477032408458547e-08,clay
14,13,5.58526342833107e-06,-3.453539124949192e-05,-0.013121189730783344,2.2508611616174213e-06,9.378588173405921e-08,clay
15,15,5.527021425842859e-06,-3.984852836466488e-05,-0.015139834304699354,2.2273896346146723e-06,9.280790144227764e-08,clay
16,-15,8.747571777536587e-06,4.767068279816285e-05,0.018111741345912504,3.5252714263472452e-06,1.4688630943113484e-07,clay-loam
17,-13,8.691374732998238e-06,4.131459175877772e-05,0.015696842499931314,3.50262401739829e-06,1.4594266739159605e-07,clay-loam
18,-11,8.635243588623747e-06,3.495850071871664e-05,0.013281943653693408,3.4800031662153704e-06,1.4500013192564034e-07,clay-loam
19,-9,8.57918006142792e-06,2.860240967921377e-05,0.010867044807667587,3.457409564755452e-06,1.4405873186481144e-07,clay-loam
20,-7,8.523186255305114e-06,2.22463186392264e-05,0.008452145961457639,3.434844060887961e-06,1.431185025369984e-07,clay-loam
