% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 26 2018, 11:51"
% Table,Clay Loam -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,8.747571777536587E-6,4.7670682798162854E-5,0.018111741345912504,3.525271426347245E-6,1.4688630943113484E-7
-13,8.691374732998238E-6,4.131459175877772E-5,0.015696842499931314,3.50262401739829E-6,1.4594266739159605E-7
-11,8.635243588623747E-6,3.495850071871664E-5,0.013281943653693408,3.48000316621537E-6,1.4500013192564034E-7
-9,8.57918006142792E-6,2.860240967921377E-5,0.010867044807667587,3.457409564755452E-6,1.4405873186481146E-7
-7,8.523186255305114E-6,2.2246318639226397E-5,0.008452145961457639,3.434844060887961E-6,1.431185025369984E-7
-5,8.467265956810576E-6,1.5890227599566572E-5,0.00603724711537213,3.4123081805946624E-6,1.4217950752477728E-7
-3,8.411426714575165E-6,9.534136559705776E-6,0.003622348269210288,3.3898049659737917E-6,1.41241873582241E-7
-1,8.355687318286814E-6,3.1780455198891817E-6,0.001207449423065266,3.367341989269586E-6,1.4030591621956634E-7
1,8.300165056138348E-6,-3.178045519893403E-6,-0.0012074494230668673,3.3449665176237544E-6,1.3937360490098983E-7
3,8.244872799538637E-6,-9.53413655964504E-6,-0.003622348269187225,3.322683738214071E-6,1.384451557589202E-7
5,8.189713900862568E-6,-1.5890227599627837E-5,-0.0060372471153954145,3.300454702047615E-6,1.3751894591865081E-7
7,8.134686287488644E-6,-2.224631863932426E-5,-0.008452145961494793,3.278278573857924E-6,1.3659494057741416E-7
9,8.079796922034678E-6,-2.860240967922405E-5,-0.010867044807671478,3.2561581595799755E-6,1.3567325664916605E-7
11,8.025054942823764E-6,-3.495850071872139E-5,-0.013281943653695222,3.234097141957977E-6,1.3475404758158243E-7
13,7.970469953117506E-6,-4.131459175877313E-5,-0.01569684249992962,3.2120993911063553E-6,1.3383747462943093E-7
15,7.91605130248735E-6,-4.767068279844068E-5,-0.018111741346018177,3.1901686749024023E-6,1.329236947876004E-7
