% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 12:57"
% Table,Clay -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,6.436212157742072E-6,3.9848528364605244E-5,0.015139834304676662,2.593793499570055E-6,1.08074729148752E-7
-13,6.373912155193546E-6,3.453539124917883E-5,0.01312118973066438,2.5686865985429993E-6,1.0702860827262465E-7
-11,6.31171932511882E-6,2.922225413387538E-5,0.011102545156698888,2.5436228880228844E-6,1.0598428700095353E-7
-9,6.249657396154729E-6,2.3909117018608244E-5,0.009083900582747186,2.518611930650356E-6,1.0494216377709824E-7
-7,6.187753945085306E-6,1.859597990357727E-5,0.007065256008885155,2.4936648398693785E-6,1.0390270166122379E-7
-5,6.126040945224037E-6,1.3282842788284015E-5,0.00504661143492345,2.468794500925287E-6,1.0286643753855328E-7
-3,6.064557193793882E-6,7.969705672845522E-6,0.0030279668609066346,2.4440165490989347E-6,1.0183402287912211E-7
-1,6.003353195301365E-6,2.6565685576234996E-6,0.0010093222869720423,2.41935133770645E-6,1.0080630573776927E-7
1,5.942515083740252E-6,-2.6565685576346427E-6,-0.0010093222869762722,2.3948335787473215E-6,9.978473244780482E-8
3,5.882071087691086E-6,-7.969705672884182E-6,-0.0030279668609213177,2.370474648339508E-6,9.876977701414589E-8
5,5.821987480824592E-6,-1.3282842788266812E-5,-0.005046611434916929,2.346260954772311E-6,9.776087311551315E-8
7,5.762260075514274E-6,-1.8595979903296178E-5,-0.007065256008778323,2.3221908104322527E-6,9.675795043467701E-8
9,5.702892044526074E-6,-2.390911701837805E-5,-0.009083900582659642,2.298265493944008E-6,9.576106224766719E-8
11,5.643890268064639E-6,-2.9222254133769132E-5,-0.011102545156658483,2.2744877780300497E-6,9.477032408458546E-8
13,5.58526342833107E-6,-3.453539124949192E-5,-0.013121189730783345,2.2508611616174213E-6,9.37858817340592E-8
15,5.527021425842859E-6,-3.9848528364664875E-5,-0.015139834304699352,2.2273896346146723E-6,9.280790144227764E-8
