% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 14:52"
% Table,Loamy Sand -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,2.6167041725767415E-5,0.00228233996400654,0.867139899517418,1.0545317815484269E-5,4.393882423118436E-7
-13,2.391558954835378E-5,0.0019780279688059446,0.7515212462485368,9.637982587986574E-6,4.0158260783277517E-7
-11,2.168814343351427E-5,0.0016737159736046397,0.6359025929793787,8.74032180370625E-6,3.6418007515442684E-7
-9,1.9517893995485076E-5,0.0013694039784038596,0.5202839397104237,7.865711280180486E-6,3.277379700075207E-7
-7,1.7423161753183146E-5,0.0010650919832031658,0.4046652864415039,7.021534186532808E-6,2.9256392443886684E-7
-5,1.536179576548355E-5,7.607799880020653E-4,0.289046633172428,6.190803693489871E-6,2.5795015389541026E-7
-3,1.3408530477521173E-5,4.5646799280150795E-4,0.17342797990355902,5.4036377824410326E-6,2.251515742683764E-7
-1,1.1604913072735468E-5,1.5215599760043147E-4,0.0578093266344928,4.676779968312394E-6,1.9486583201301659E-7
1,9.94657981433306E-6,-1.5215599760049625E-4,-0.05780932663451747,4.008471665176223E-6,1.6701965271567508E-7
3,8.460485647389459E-6,-4.564679928015473E-4,-0.1734279799035741,3.409575715897952E-6,1.420656548290813E-7
5,7.158491404684979E-6,-7.607799880021195E-4,-0.28904663317245033,2.884872036088047E-6,1.2020300150366817E-7
7,6.0288078212959034E-6,-0.0010650919832029889,-0.4046652864414367,2.429609551982249E-6,1.0123373133259391E-7
9,5.056795288233075E-6,-0.0013694039784041478,-0.5202839397105345,2.0378885011579294E-6,8.491202088158034E-8
11,4.226553154272273E-6,-0.0016737159736048576,-0.6359025929794633,1.7033009211717263E-6,7.097087171548848E-8
13,3.523041270834001E-6,-0.0019780279688059645,-0.7515212462485445,1.4197856321461025E-6,5.915773467275461E-8
15,2.928721972867199E-6,-0.0022823399640076415,-0.867139899517836,1.1802749550654814E-6,4.9178123127728454E-8
