% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 11:36"
% Table,Sand -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,9.757671475013358E-5,0.024819813906461978,9.429905831867854,3.9323416044303835E-5,1.6384756685126547E-6
-13,9.24360921146308E-5,0.021510505385600353,8.172585054285495,3.7251745122196216E-5,1.5521560467581806E-6
-11,8.616926518155476E-5,0.01820119686473835,6.915264276702944,3.472621386816657E-5,1.4469255778402766E-6
-9,7.826443758136511E-5,0.014891888343877452,5.6579434991208535,3.154056834529014E-5,1.3141903477204226E-6
-7,6.788484339259226E-5,0.011582579823015507,4.400622721538309,2.735759188721468E-5,1.1398996619672757E-6
-5,5.383749767013541E-5,0.008273271302153978,3.1433019439559486,2.169651156106457E-5,9.040213150443567E-7
-3,3.541351215471253E-5,0.004963962781292357,1.8859811663735604,1.427164539834915E-5,5.946518915978828E-7
-1,1.5996776396419215E-5,0.001654654260430856,0.6286603887912133,6.446700887756944E-6,2.686125369898729E-7
1,4.117253598698845E-6,-0.0016546542604307824,-0.6286603887911874,1.659253200275635E-6,6.913555001148475E-8
3,7.892145629858698E-7,-0.0049639627812923534,-1.8859811663735586,3.1805346888330554E-7,1.325222787013774E-8
5,1.4056662414886353E-7,-0.008273271302153974,-3.14330194395594,5.664834953199201E-8,2.360347897166344E-9
7,2.557877975601461E-8,-0.011582579823015549,-4.400622721538338,1.0308248241673889E-8,4.295103434030786E-10
9,4.907240415307821E-9,-0.014891888343877412,-5.657943499120842,1.977617887369052E-9,8.240074530704345E-11
11,9.99236782914114E-10,-0.018201196864738194,-6.9152642767029135,4.0269242351438794E-10,1.677885097976621E-11
13,2.156993559644854E-10,-0.021510505385600297,-8.172585054285493,8.692684045368762E-11,3.621951685570319E-12
15,4.9140818289722884E-11,-0.024819813906461808,-9.429905831867783,1.9803749770758324E-11,8.251562404482619E-13
