% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 25 2018, 16:26"
% Table,Sandy Clay Loam -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,8.62975991456408E-6,5.776522997890716E-5,0.021947008994916944,3.4777932455693242E-6,1.4490805189872214E-7
-13,8.543660224808973E-6,5.0063199314947825E-5,0.019020741128888227,3.4430950705980165E-6,1.434622946082508E-7
-11,8.457714900112027E-6,4.236116865119773E-5,0.01609447326293877,3.4084591047451467E-6,1.4201912936438088E-7
-9,8.371942441106085E-6,3.465913798723829E-5,0.013168205396909865,3.3738928037657523E-6,1.405788668235733E-7
-7,8.286363938786839E-6,2.69571073234287E-5,0.010241937530937977,3.3394046673310965E-6,1.3914186113879557E-7
-5,8.201005662967062E-6,1.925507665954299E-5,0.007315669664937099,3.305005282175726E-6,1.3770855342398861E-7
-3,8.115904026726521E-6,1.1553045995744005E-5,0.004389401798969169,3.270709322770788E-6,1.3627955511544964E-7
-1,8.031116310917193E-6,3.851015331877185E-6,0.0014631339329754783,3.236539873299629E-6,1.3485582805415099E-7
1,7.946810771625088E-6,-3.8510153318894116E-6,-0.0014631339329801245,3.2025647409649103E-6,1.3344019754020403E-7
3,7.863027487437567E-6,-1.1553045995770709E-5,-0.004389401798979303,3.16880007743734E-6,1.3203333655988907E-7
5,7.77966637396547E-6,-1.9255076659905062E-5,-0.007315669665074689,3.1352055487080843E-6,1.3063356452950357E-7
7,7.696727156397675E-6,-2.6957107323344618E-5,-0.010241937530905994,3.1017810440282633E-6,1.2924087683451074E-7
9,7.614223295826414E-6,-3.465913798714819E-5,-0.013168205396875632,3.068531988218045E-6,1.278554995090855E-7
11,7.532172904552724E-6,-4.236116865102581E-5,-0.016094473262873478,3.035465680534748E-6,1.2647773668894756E-7
13,7.450595559633621E-6,-5.006319931495024E-5,-0.01902074112888915,3.0025900105323494E-6,1.2510791710551413E-7
15,7.369510992168552E-6,-5.7765229978274915E-5,-0.021947008994676748,2.969912929843927E-6,1.2374637207683028E-7
