% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 29 2018, 10:04"
% Table,Silty Clay -
p_ck,Attenuation factor,Relative air entry rate,Pe,TCE in indoor air,TCE emission rate
-15,7.268088403389929E-6,3.291986410839164E-5,0.01250739508805092,2.9290396265661418E-6,1.220433177735887E-7
-13,7.218196856537319E-6,2.8530548892659338E-5,0.01083974240915777,2.9089333331845396E-6,1.2120555554935582E-7
-11,7.168385714123771E-6,2.4141233679137003E-5,0.009172089731104248,2.88885944279188E-6,1.2036914344966179E-7
-9,7.118664626112362E-6,1.9751918464600318E-5,0.007504437052665429,2.868821844323282E-6,1.1953424351346994E-7
-7,7.069045026148137E-6,1.5362603250490322E-5,0.005836784374388655,2.8488251455376993E-6,1.1870104773073732E-7
-5,7.01954062992153E-6,1.0973288036117999E-5,0.004169131696012193,2.8288748738583768E-6,1.1786978641076593E-7
-3,6.97016888070526E-6,6.583972821595866E-6,0.002501479017578853,2.80897805892422E-6,1.1704075245517622E-7
-1,6.920954133281836E-6,2.1946576071968416E-6,8.33826339192273E-4,2.78914451571258E-6,1.1621435482135771E-7
1,6.871950273896137E-6,-2.1946576071903728E-6,-8.338263391898188E-4,2.7693959603801436E-6,1.1539149834917256E-7
3,6.823168594685327E-6,-6.5839728215615485E-6,-0.002501479017565813,2.749736943658187E-6,1.1457237265242446E-7
5,6.7745747245267254E-6,-1.097328803607947E-5,-0.0041691316959975785,2.7301536139842704E-6,1.1375640058267743E-7
7,6.726162810887383E-6,-1.5362603250503115E-5,-0.005836784374393518,2.7106436127876154E-6,1.1294348386615084E-7
9,6.677932048610409E-6,-1.975191846439284E-5,-0.00750443705258658,2.691206615589995E-6,1.1213360898291733E-7
11,6.629883934825677E-6,-2.4141233678903428E-5,-0.00917208973101554,2.671843225734748E-6,1.1132680107228118E-7
13,6.582021277776679E-6,-2.8530548893383565E-5,-0.010839742409432921,2.6525545749440017E-6,1.1052310728933286E-7
15,6.534347675635265E-6,-3.291986410807491E-5,-0.01250739508793057,2.633342113281012E-6,1.0972258805337566E-7
