Soil,Ae,TimeDown,TimeUp,Cmax,Cmin
clay,0.5,3.4000000000000017,2.899999999999992,3.7031917513879184e-06,3.519391432158474e-06
clay-loam,0.5,2.500000000000001,1.7999999999999998,5.1184622708919815e-06,4.950682053071428e-06
loam,0.5,3.5000000000000018,2.999999999999991,5.302476529221598e-06,5.022153734816996e-06
loamy-sand,0.5,9.599999999999982,7.999999999999998,9.286205540234769e-06,4.327308054132053e-06
sand,0.5,21.300000000000033,9.300000000000132,3.254476734159685e-05,8.497252429798838e-08
sandy-clay,0.5,3.800000000000002,3.2999999999999887,3.713814357040772e-06,3.490698066776365e-06
sandy-clay-loam,0.5,3.4000000000000017,2.899999999999992,4.95750792326359e-06,4.702808323062129e-06
sandy-loam,0.5,5.899999999999995,5.4999999999999805,7.090555164722957e-06,5.9679777627857e-06
silt,0.5,5.099999999999998,4.699999999999983,3.724351953751145e-06,3.3164985140501776e-06
silt-loam,0.5,3.3000000000000016,2.699999999999993,2.883146216210695e-06,2.7474212322652917e-06
silty-clay,0.5,2.600000000000001,1.9999999999999987,4.243312310787573e-06,4.095230420976388e-06
silty-clay-loam,0.5,2.600000000000001,1.899999999999999,3.764439603570571e-06,3.6346815794864653e-06
clay,1.0,1.7000000000000004,1.500000000000001,1.8515958756939592e-06,1.759695716079237e-06
clay-loam,1.0,1.3,1.0000000000000007,2.5592311354459908e-06,2.475341026535714e-06
loam,1.0,1.8000000000000005,1.6000000000000012,2.651238264610799e-06,2.511076867408498e-06
loamy-sand,1.0,4.799999999999999,4.099999999999985,4.6431027701173845e-06,2.1636540270660266e-06
sand,1.0,10.699999999999978,4.699999999999983,1.6272383670798426e-05,4.248626214899419e-08
sandy-clay,1.0,1.9000000000000006,1.8000000000000014,1.856907178520386e-06,1.7453490333881824e-06
sandy-clay-loam,1.0,1.7000000000000004,1.6000000000000012,2.478753961631795e-06,2.3514041615310645e-06
sandy-loam,1.0,3.0000000000000013,2.799999999999994,3.5452775823614785e-06,2.98398888139285e-06
silt,1.0,2.600000000000001,2.499999999999997,1.8621759768755725e-06,1.6582492570250888e-06
silt-loam,1.0,1.7000000000000004,1.500000000000001,1.4415731081053476e-06,1.3737106161326458e-06
silty-clay,1.0,1.3,1.0000000000000007,2.1216561553937863e-06,2.047615210488194e-06
silty-clay-loam,1.0,1.3,1.0000000000000007,1.8822198017852854e-06,1.8173407897432327e-06
clay,1.5,1.2,1.1000000000000008,1.2343972504626394e-06,1.173130477386158e-06
clay-loam,1.5,0.8999999999999999,0.7000000000000004,1.7061540902973272e-06,1.6502273510238091e-06
loam,1.5,1.2,1.1000000000000008,1.7674921764071992e-06,1.6740512449389989e-06
loamy-sand,1.5,3.3000000000000016,2.7999999999999927,3.095401846744923e-06,1.4424360180440177e-06
sand,1.5,7.29999999999999,3.1999999999999886,1.0848255780532283e-05,2.832417476599613e-08
sandy-clay,1.5,1.3,1.2000000000000008,1.2379381190135908e-06,1.1635660222587882e-06
sandy-clay-loam,1.5,1.2,1.1000000000000008,1.6525026410878634e-06,1.567602774354043e-06
sandy-loam,1.5,2.0000000000000004,2.0000000000000013,2.3635183882409856e-06,1.989325920928567e-06
silt,1.5,1.7000000000000004,1.7000000000000013,1.2414506512503816e-06,1.1054995046833925e-06
silt-loam,1.5,1.0999999999999999,1.0000000000000007,9.610487387368983e-07,9.158070774217639e-07
silty-clay,1.5,0.8999999999999999,0.7000000000000004,1.414437436929191e-06,1.3650768069921293e-06
silty-clay-loam,1.5,0.8999999999999999,0.7000000000000004,1.2548132011901902e-06,1.2115605264954884e-06
