% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 16 2018, 17:13"
% Table,Accumulated Probe Table 2 - 
% period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
60,0,6.922003030344826E-6,5.459067958168127E-4,0.2074088748984939,2.7895672212289652E-6,1.1623191914234835E-7
60,1.4583442134430649E-5,6.9203608358903445E-6,5.449063618997844E-4,0.20702877544794518,2.788905416863809E-6,1.1620439236598746E-7
60,2.9166884268861298E-5,6.918584088167837E-6,5.439059279911379E-4,0.20664867600058,2.7881893875316385E-6,1.1617455782845332E-7
60,5.8333768537722596E-5,6.914945137789501E-6,5.419050602325216E-4,0.20588847712814232,2.786722890529169E-6,1.1611345382239966E-7
60,1.1666753707544519E-4,6.907512822897808E-6,5.379033251889045E-4,0.20436807956321335,2.783727667627817E-6,1.1598865256055169E-7
60,2.3333507415089039E-4,6.892443894665424E-6,5.298998588646629E-4,0.2013272858630445,2.777654889550166E-6,1.1573562016302565E-7
60,3.3833585751879105E-4,6.878801315248538E-6,5.226967464063229E-4,0.19859057428114146,2.772156930045161E-6,1.1550653757261384E-7
60,4.433366408866917E-4,6.865122342453005E-6,5.154936440805166E-4,0.19585386654893816,2.766644304008561E-6,1.152768448136463E-7
60,5.483374242545924E-4,6.851426813092769E-6,5.082905547912939E-4,0.19311716376978488,2.761125005676386E-6,1.1504687661599068E-7
60,7.583389909903937E-4,6.824001371601219E-6,4.938844287937836E-4,0.1876437781887927,2.7500725527552913E-6,1.1458635558355829E-7
60,9.68340557726195E-4,6.796565264102358E-6,4.7947839332098205E-4,0.1821704270012682,2.73901580143325E-6,1.1412565950408416E-7
60,0.0011783421244619965,6.769134825002838E-6,4.650724741125571E-4,0.17669711998660095,2.727961334476144E-6,1.1366505173137255E-7
60,0.001598345257933599,6.714347675466745E-6,4.362610823951246E-4,0.16575067567382903,2.7058821132130987E-6,1.127450741087226E-7
60,0.0020183483914052018,6.659762716178384E-6,4.0745046111368E-4,0.15480452407633938,2.683884374619889E-6,1.1182845976364611E-7
60,0.0024383515248768044,6.605467497932268E-6,3.7864079612823974E-4,0.1438587358087798,2.6620034016667043E-6,1.1091675049823596E-7
60,0.0032783577918200097,6.4981288521621794E-6,3.210251605560488E-4,0.12196856290351324,2.6187459274213585E-6,1.0911433344777417E-7
60,0.004118364058763215,6.393250426802333E-6,2.6341586721094674E-4,0.10008079962969926,2.5764799220013405E-6,1.0735242251064143E-7
60,0.00495837032570642,6.2918118286403634E-6,2.0581434078884218E-4,0.07819598727859299,2.5356001669420665E-6,1.0564910081358334E-7
60,0.005798376592649626,6.19521895727447E-6,1.4822230166047968E-4,0.05631477947854933,2.4966732397816113E-6,1.0402724157385713E-7
60,0.007478389126536036,6.023010886207651E-6,3.307311846758204E-5,0.01256562172024629,2.4272733871416834E-6,1.0113767803558458E-7
60,0.009158401660422448,5.886847678902114E-6,-8.20195264105174E-5,-0.03116205517657879,2.372399614597552E-6,9.885639255815734E-8
60,0.010838414194308858,5.785529284760054E-6,-1.9704157696509065E-4,-0.07486291084800559,2.331568301758302E-6,9.714372490127878E-8
60,0.01419843926208168,5.64045568105077E-6,-4.2682424222088524E-4,-0.16216529366698484,2.2731036394634605E-6,9.471177382675554E-8
60,0.0175584643298545,5.532799353695441E-6,-6.561706297744014E-4,-0.24930191949582017,2.2297181395392625E-6,9.290678150681007E-8
60,0.020918489397627322,5.444649432149779E-6,-8.849898400260367E-4,-0.33623825243236577,2.194193721156361E-6,9.141616256147887E-8
60,0.024278514465400143,5.367302862551581E-6,-0.0011131668084142547,-0.422930575469561,2.1630230536082874E-6,9.012142104319702E-8
60,0.030998564600945785,5.235145819936451E-6,-0.001567199913160392,-0.5954334571769836,2.10976376543439E-6,8.790483229668016E-8
60,0.03771861473649143,5.12222711032812E-6,-0.002017463960924092,-0.7665043437633612,2.0642575254622325E-6,8.600999505276344E-8
60,0.04443866487203707,5.022084121070414E-6,-0.0024631586625469166,-0.9358391776950324,2.023899900791377E-6,8.432923955215266E-8
60,0.057878765143128355,4.84802627866366E-6,-0.0033374829985575527,-1.268025236227249,1.9537545903014553E-6,8.140377959513179E-8
60,0.07131886541421964,4.698500733189876E-6,-0.004183462253519739,-1.589442017999747,1.8934957954755201E-6,7.888856841722763E-8
60,0.08475896568531092,4.56588234095769E-6,-0.0049985126645427334,-1.8991078621167659,1.840050583405949E-6,7.66705654556422E-8
60,0.09819906595640221,4.448981059973239E-6,-0.005772034958978402,-2.1929957382655765,1.7929393671692154E-6,7.470646376790556E-8
60,0.12507926649858478,4.252511468057914E-6,-0.007174625342987227,-2.7258883413983983,1.7137621216273394E-6,7.140122054269738E-8
60,0.15195946704076735,4.098848646675852E-6,-0.008362319579493885,-3.1771344647383293,1.6518360046103683E-6,6.879472982484235E-8
60,0.17883966758294992,3.9792536766251885E-6,-0.009300028256861288,-3.5334024270455924,1.603639231679951E-6,6.682185090140637E-8
60,0.2057198681251325,3.897441339652345E-6,-0.009949981033892483,-3.7803419692058773,1.5706688598798953E-6,6.545530185814292E-8
60,0.2594802692094976,3.83482549264868E-6,-0.010354123520613424,-3.9338896793860463,1.545434673537418E-6,6.438623831000045E-8
60,0.31324067029386277,3.902001219865441E-6,-0.00952805960377608,-3.620039423447901,1.5725064916057729E-6,6.550423013286686E-8
60,0.3670010713782279,4.1035583513165525E-6,-0.00756171168320572,-2.87295583154234,1.6537340155805708E-6,6.888157453281286E-8
60,0.42076147246259304,4.455963390191752E-6,-0.004655908625039943,-1.768940736678022,1.795753246247276E-6,7.483184205051435E-8
60,0.5282822746313234,6.497506660720038E-6,0.0024758925088264093,0.9406772063662255,2.6184951842701755E-6,1.0910283773196897E-7
60,0.6358030768000537,1.5453882868053576E-5,0.00877134158045944,3.3325360711647276,6.227914795825592E-6,2.594723140956016E-7
60,0.7433238789687839,7.137148259704999E-5,0.011454448802241427,4.351941314635162,2.8762707486611145E-5,1.1984729027635094E-6
60,0.8508446811375142,1.3842586070489244E-4,0.00934310372403557,3.5497682870253455,5.578562186407165E-5,2.3264322723912297E-6
60,0.9583654833062445,7.177761868702429E-5,0.0033646564699227974,1.2783493779418114,2.8926380330870788E-5,1.204075794024077E-6
60,1.173407087643705,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,1.3884486919811656,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,1.6034902963186262,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,1.8185319006560867,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,2.0335735049935475,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,2.2486151093310083,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,2.463656713668469,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
60,2.6129309747589304,1.6691329139830845E-5,5.478352408794463E-4,0.20814155788359268,6.726605643351832E-6,2.9447168902142845E-7
