% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 6 2018, 12:38"
% Table,Accumulated Probe Table 2 -
period,Time,"Attenuation factor",Relative air entry rate,"Crack Peclet number","TCE in indoor air",TCE emission rate
1800,0,7.917394876294985E-5,5.459067958167876E-4,0.20740887489848425,3.190710135146879E-5,1.3294625563111968E-6
1800,200,1.4230807912262845E-5,-0.006471689642827547,-2.4588187540378676,5.735015588641927E-6,2.3894940074467224E-7
1800,400,1.1153585653005829E-5,-0.010203222557252175,-3.876557183671222,4.494895018161349E-6,1.8735702467716256E-7
1800,600,1.1277503269570829E-5,-0.008914142317828938,-3.386791010834709,4.544833817637044E-6,1.892694763864677E-7
1800,800,1.4907683825958208E-5,-0.0031925332240418467,-1.2129538030092166,6.007796581861159E-6,2.494826695186307E-7
1800,1000,1.6472371940982902E-4,0.004280052717496097,1.6261400763730292,6.63836589221611E-5,2.7526652316195696E-6
1800,1200,8.307952073313976E-4,0.009975650840470042,3.790094816655116,3.3481046855455323E-4,1.3864852127536925E-5
1800,1400,0.0011219802469833802,0.011298663988248015,4.292753275130557,4.5215803953430224E-4,1.884596793596866E-5
1800,1600,8.103700511379694E-4,0.00756607429760819,2.874613339658654,3.265791306086017E-4,1.3576288832810617E-5
1800,1800,8.94598163322021E-5,5.460890913406392E-4,0.2074781352736822,3.605230598187745E-5,1.4197123897094706E-6
3600,0,7.917439129428704E-5,5.459067958168128E-4,0.207408874898494,3.190727969159768E-5,1.3294699871499064E-6
3600,400,1.3785656127027006E-5,-0.006472026557541019,-2.4589467595915564,5.5556194191918835E-6,2.3149136942919912E-7
3600,800,1.0723167831075477E-5,-0.01020623149938371,-3.8777003848677145,4.321436635923417E-6,1.800534494307546E-7
3600,1200,1.0865332360920937E-5,-0.008918885389197724,-3.3885930677127085,4.378728941451138E-6,1.822712921369651E-7
3600,1600,1.462357336689292E-5,-0.00320837988270263,-1.21897449677768,5.893300066857847E-6,2.435377338299823E-7
3600,2000,2.272610130504681E-4,0.004279522228036821,1.6259385250775806,9.158618825933865E-5,3.8104818781400187E-6
3600,2400,9.075779639062816E-4,0.010001617775637673,3.7999605535335657,3.657539194542315E-4,1.5233289133651814E-5
3600,2800,0.0011783098407764348,0.011298696128101866,4.2927654861727635,4.7485886583290324E-4,1.978780486764331E-5
3600,3200,8.343024555803103E-4,0.007573358886683221,2.87738100702555,3.362238895988651E-4,1.40052276819422E-5
3600,3600,8.8857102431942E-5,5.4961319508472E-4,0.20881706418643092,3.580941228007263E-5,1.4325604818197527E-6
43200,0,7.917339823556563E-5,5.459067958167859E-4,0.2074088748984834,3.190687948893295E-5,1.3294533120388735E-6
43200,4800,1.2390861190740597E-5,-0.006465491627733519,-2.456463913711447,4.993517059868461E-6,2.0787332089721191E-7
43200,9600,9.289065463150116E-6,-0.010206026640315573,-3.8776225518215264,3.743493381649497E-6,1.559923379194158E-7
43200,14400,9.416522177235358E-6,-0.00891865190359749,-3.388504358456797,3.7948584374258494E-6,1.5797460364957226E-7
43200,19200,1.2968186413167317E-5,-0.003191831076980445,-1.2126870330530062,5.226179124506429E-6,2.175045410852318E-7
43200,24000,3.637931403517433E-4,0.004279200165123027,1.6258161622363259,1.4660863556175256E-4,6.101350588917698E-6
43200,28800,0.0011001203883482184,0.00999281674718615,3.796616738393214,4.4334851650433207E-4,1.8464280040850245E-5
43200,33600,0.0013354021974576861,0.01129844518563545,4.292670144449562,5.381670855754475E-4,2.2430928730096978E-5
43200,38400,9.184320799997233E-4,0.007569759662866749,2.876013537398902,3.701281282398885E-4,1.5423013513561412E-5
43200,43200,8.166150088210472E-5,5.480846661281724E-4,0.20823632316331775,3.29095848554882E-5,1.5371335351834615E-6
86400,0,7.917261393336247E-5,5.459067958168126E-4,0.20740887489849386,3.190656341514508E-5,1.3294401422977014E-6
86400,9600,1.1996765804309282E-5,-0.006469194912625395,-2.457870919740205,4.834696619136641E-6,2.0134753430547366E-7
86400,19200,8.814730711720092E-6,-0.010206290883193251,-3.8777229468310472,3.552336476823197E-6,1.480164115805371E-7
86400,28800,8.78835288677351E-6,-0.008913144191072883,-3.3864117879544096,3.5417062133697247E-6,1.475068084225721E-7
86400,38400,1.1978067634951955E-5,-0.0031893476802268097,-1.2117435047244551,4.827161256885638E-6,2.0105992151995698E-7
86400,48000,3.9689786623058027E-4,0.004280078351600465,1.6261498156559708,1.5994984009092385E-4,6.674471610201094E-6
86400,57600,0.001151241318042807,0.010000199330802793,3.799421637276138,4.639502511712513E-4,1.9338188485617552E-5
86400,67200,0.001379041165734683,0.011298665662526896,4.292753911247007,5.557535897910773E-4,2.3160847552033227E-5
86400,76800,9.423630765794831E-4,0.00756522896654587,2.874292169147688,3.797723198615317E-4,1.581766038597514E-5
86400,86400,8.86615585951582E-5,5.459047681907977E-4,0.20740810453323494,3.573060811384876E-5,1.4853116382158363E-6
